Place_ID X Date,target
0OS9LVX X 2020-02-24,31.901999999999997
0OS9LVX X 2020-02-25,34.172
0OS9LVX X 2020-02-26,38.251999999999995
0OS9LVX X 2020-02-27,38.016999999999996
0OS9LVX X 2020-02-28,44.887
0OS9LVX X 2020-02-29,38.241
0OS9LVX X 2020-03-01,38.741
0OS9LVX X 2020-03-02,39.832
0OS9LVX X 2020-03-03,41.472
0OS9LVX X 2020-03-04,47.465
0OS9LVX X 2020-03-05,50.89
0OS9LVX X 2020-03-06,49.7
0OS9LVX X 2020-03-07,46.3
0OS9LVX X 2020-03-08,42.472
0OS9LVX X 2020-03-09,39.167
0OS9LVX X 2020-03-10,34.422
0OS9LVX X 2020-03-11,42.075
0OS9LVX X 2020-03-12,39.339
0OS9LVX X 2020-03-13,40.335
0OS9LVX X 2020-03-14,43.89099999999999
0OS9LVX X 2020-03-15,40.144
0OS9LVX X 2020-03-16,46.548
0OS9LVX X 2020-03-17,34.251999999999995
0OS9LVX X 2020-03-18,44.75299999999999
0OS9LVX X 2020-03-19,43.479
0OS9LVX X 2020-03-20,36.323
0OS9LVX X 2020-03-21,32.688
0OS9LVX X 2020-03-22,39.085
0OS9LVX X 2020-03-23,45.56399999999999
0OS9LVX X 2020-03-24,47.72
0OS9LVX X 2020-03-25,41.025
0OS9LVX X 2020-03-26,41.05
0OS9LVX X 2020-03-27,40.324
0OS9LVX X 2020-03-28,45.21
0OS9LVX X 2020-03-29,47.29600000000001
0OS9LVX X 2020-03-30,52.967
0OS9LVX X 2020-03-31,48.6
0OS9LVX X 2020-04-01,50.95
0OS9LVX X 2020-04-02,43.9
0OS9LVX X 2020-04-03,38.938
0OS9LVX X 2020-04-04,81.05
0Q2LTOG X 2020-01-02,122.57
0Q2LTOG X 2020-01-03,106.53
0Q2LTOG X 2020-01-04,117.1
0Q2LTOG X 2020-01-05,113.0
0Q2LTOG X 2020-01-06,105.15
0Q2LTOG X 2020-01-07,59.59
0Q2LTOG X 2020-01-08,38.21
0Q2LTOG X 2020-01-09,120.12
0Q2LTOG X 2020-01-10,129.51
0Q2LTOG X 2020-01-11,128.43
0Q2LTOG X 2020-01-12,100.2
0Q2LTOG X 2020-01-13,74.08
0Q2LTOG X 2020-01-14,115.38
0Q2LTOG X 2020-01-15,100.32
0Q2LTOG X 2020-01-16,106.26
0Q2LTOG X 2020-01-17,126.83
0Q2LTOG X 2020-01-18,107.3
0Q2LTOG X 2020-01-19,145.61
0Q2LTOG X 2020-01-20,131.34
0Q2LTOG X 2020-01-21,109.11
0Q2LTOG X 2020-01-22,156.78
0Q2LTOG X 2020-01-23,118.09
0Q2LTOG X 2020-01-24,89.09
0Q2LTOG X 2020-01-25,109.84
0Q2LTOG X 2020-01-26,106.89
0Q2LTOG X 2020-01-27,52.72
0Q2LTOG X 2020-01-28,71.55
0Q2LTOG X 2020-01-29,104.29
0Q2LTOG X 2020-01-30,83.99
0Q2LTOG X 2020-01-31,88.84
0Q2LTOG X 2020-02-01,121.68
0Q2LTOG X 2020-02-02,112.46
0Q2LTOG X 2020-02-03,83.66
0Q2LTOG X 2020-02-04,99.95
0Q2LTOG X 2020-02-05,63.92
0Q2LTOG X 2020-02-06,89.04
0Q2LTOG X 2020-02-07,95.95
0Q2LTOG X 2020-02-08,88.12
0Q2LTOG X 2020-02-09,78.67
0Q2LTOG X 2020-02-10,101.95
0Q2LTOG X 2020-02-11,112.11
0Q2LTOG X 2020-02-12,57.66
0Q2LTOG X 2020-02-13,90.51
0Q2LTOG X 2020-02-14,130.46
0Q2LTOG X 2020-02-15,67.44
0Q2LTOG X 2020-02-16,52.98
0Q2LTOG X 2020-02-17,39.16
0Q2LTOG X 2020-02-18,62.36
0Q2LTOG X 2020-02-19,141.07299999999998
0Q2LTOG X 2020-02-20,130.2
0Q2LTOG X 2020-02-21,122.66
0Q2LTOG X 2020-02-22,87.5
0Q2LTOG X 2020-02-23,77.4
0Q2LTOG X 2020-02-24,90.973
0Q2LTOG X 2020-02-25,60.93
0Q2LTOG X 2020-02-26,82.13
0Q2LTOG X 2020-02-27,86.9
0Q2LTOG X 2020-02-28,91.05
0Q2LTOG X 2020-02-29,70.1
0Q2LTOG X 2020-03-01,91.53
0Q2LTOG X 2020-03-02,70.54
0Q2LTOG X 2020-03-03,123.13
0Q2LTOG X 2020-03-04,55.99
0Q2LTOG X 2020-03-05,74.96
0Q2LTOG X 2020-03-06,82.31
0Q2LTOG X 2020-03-07,115.04
0Q2LTOG X 2020-03-08,102.48
0Q2LTOG X 2020-03-09,128.55
0Q2LTOG X 2020-03-10,55.12
0Q2LTOG X 2020-03-11,55.06
0Q2LTOG X 2020-03-12,77.98
0Q2LTOG X 2020-03-13,52.81
0Q2LTOG X 2020-03-14,87.9
0Q2LTOG X 2020-03-15,49.07
0Q2LTOG X 2020-03-16,62.01
0Q2LTOG X 2020-03-17,95.58
0Q2LTOG X 2020-03-18,88.52
0Q2LTOG X 2020-03-19,51.96
0Q2LTOG X 2020-03-20,70.26
0Q2LTOG X 2020-03-21,100.71
0Q2LTOG X 2020-03-22,60.63
0Q2LTOG X 2020-03-23,77.2
0Q2LTOG X 2020-03-24,106.39
0Q2LTOG X 2020-03-25,113.73
0Q2LTOG X 2020-03-26,81.873
0Q2LTOG X 2020-03-27,72.15
0Q2LTOG X 2020-03-28,55.6
0Q2LTOG X 2020-03-29,62.22
0Q2LTOG X 2020-03-30,89.9
0Q2LTOG X 2020-03-31,79.41
0Q2LTOG X 2020-04-01,73.33
0Q2LTOG X 2020-04-02,80.07
0Q2LTOG X 2020-04-03,74.41
0Q2LTOG X 2020-04-04,59.33
15WCXN1 X 2020-01-02,204.63
15WCXN1 X 2020-01-03,222.96
15WCXN1 X 2020-01-04,198.21
15WCXN1 X 2020-01-05,185.91
15WCXN1 X 2020-01-06,151.36
15WCXN1 X 2020-01-07,98.11
15WCXN1 X 2020-01-08,127.95
15WCXN1 X 2020-01-09,177.67
15WCXN1 X 2020-01-10,193.55
15WCXN1 X 2020-01-11,183.49
15WCXN1 X 2020-01-12,185.83
15WCXN1 X 2020-01-13,151.73
15WCXN1 X 2020-01-14,161.05
15WCXN1 X 2020-01-15,187.31
15WCXN1 X 2020-01-16,179.53
15WCXN1 X 2020-01-17,168.87
15WCXN1 X 2020-01-18,205.98
15WCXN1 X 2020-01-19,78.11
15WCXN1 X 2020-01-20,107.83
15WCXN1 X 2020-01-21,166.64
15WCXN1 X 2020-01-22,173.46
15WCXN1 X 2020-01-23,123.45
15WCXN1 X 2020-01-24,107.79
15WCXN1 X 2020-01-25,159.66
15WCXN1 X 2020-01-26,147.52
15WCXN1 X 2020-01-27,111.49
15WCXN1 X 2020-01-28,146.02
15WCXN1 X 2020-01-29,143.08
15WCXN1 X 2020-01-30,120.47
15WCXN1 X 2020-01-31,158.89
15WCXN1 X 2020-02-01,135.97
15WCXN1 X 2020-02-02,107.11
15WCXN1 X 2020-02-03,124.51
15WCXN1 X 2020-02-04,85.91
15WCXN1 X 2020-02-05,96.99
15WCXN1 X 2020-02-06,143.46
15WCXN1 X 2020-02-07,137.7
15WCXN1 X 2020-02-08,116.83
15WCXN1 X 2020-02-09,131.23
15WCXN1 X 2020-02-10,152.01
15WCXN1 X 2020-02-11,157.64
15WCXN1 X 2020-02-12,108.82
15WCXN1 X 2020-02-13,130.49
15WCXN1 X 2020-02-14,91.86
15WCXN1 X 2020-02-15,84.87
15WCXN1 X 2020-02-16,71.16
15WCXN1 X 2020-02-17,116.28
15WCXN1 X 2020-02-18,148.25
15WCXN1 X 2020-02-19,126.97
15WCXN1 X 2020-02-20,104.76
15WCXN1 X 2020-02-21,122.98
15WCXN1 X 2020-02-22,77.46
15WCXN1 X 2020-02-23,102.59
15WCXN1 X 2020-02-24,90.04
15WCXN1 X 2020-02-25,82.54
15WCXN1 X 2020-02-26,62.24
15WCXN1 X 2020-02-27,104.2
15WCXN1 X 2020-02-28,91.56
15WCXN1 X 2020-02-29,106.22
15WCXN1 X 2020-03-01,81.26
15WCXN1 X 2020-03-02,84.93
15WCXN1 X 2020-03-03,114.39
15WCXN1 X 2020-03-04,114.32
15WCXN1 X 2020-03-05,105.86
15WCXN1 X 2020-03-06,90.04
15WCXN1 X 2020-03-07,88.88
15WCXN1 X 2020-03-08,108.26
15WCXN1 X 2020-03-09,104.74
15WCXN1 X 2020-03-10,95.57
15WCXN1 X 2020-03-11,92.64
15WCXN1 X 2020-03-12,62.93
15WCXN1 X 2020-03-13,81.75
15WCXN1 X 2020-03-14,102.25
15WCXN1 X 2020-03-15,47.9
15WCXN1 X 2020-03-16,95.11
15WCXN1 X 2020-03-17,70.34
15WCXN1 X 2020-03-18,110.35
15WCXN1 X 2020-03-19,38.38
15WCXN1 X 2020-03-20,108.82
15WCXN1 X 2020-03-21,85.28
15WCXN1 X 2020-03-22,112.31
15WCXN1 X 2020-03-23,58.931000000000004
15WCXN1 X 2020-03-24,105.49
15WCXN1 X 2020-03-25,96.35
15WCXN1 X 2020-03-26,50.88
15WCXN1 X 2020-03-27,54.78
15WCXN1 X 2020-03-28,72.39
15WCXN1 X 2020-03-29,97.37
15WCXN1 X 2020-03-30,117.18
15WCXN1 X 2020-03-31,130.25
15WCXN1 X 2020-04-01,68.71
15WCXN1 X 2020-04-02,98.04
15WCXN1 X 2020-04-03,96.32
15WCXN1 X 2020-04-04,62.3
19090SM X 2020-01-02,79.77
19090SM X 2020-01-03,113.0
19090SM X 2020-01-04,160.11
19090SM X 2020-01-05,174.36
19090SM X 2020-01-06,101.014
19090SM X 2020-01-07,101.462
19090SM X 2020-01-08,90.52
19090SM X 2020-01-09,149.491
19090SM X 2020-01-10,122.78
19090SM X 2020-01-11,80.33
19090SM X 2020-01-12,82.2
19090SM X 2020-01-13,99.204
19090SM X 2020-01-14,113.9
19090SM X 2020-01-15,75.17
19090SM X 2020-01-16,102.21
19090SM X 2020-01-17,78.03399999999999
19090SM X 2020-01-18,132.532
19090SM X 2020-01-19,60.09
19090SM X 2020-01-20,172.7
19090SM X 2020-01-21,89.89
19090SM X 2020-01-22,79.26
19090SM X 2020-01-23,143.25
19090SM X 2020-02-18,133.366
19090SM X 2020-02-19,46.2
19090SM X 2020-02-20,84.12
19090SM X 2020-02-21,93.86
19090SM X 2020-02-22,65.34
19090SM X 2020-02-23,70.6
19090SM X 2020-02-24,57.32
19090SM X 2020-02-25,37.31
19090SM X 2020-02-26,100.09
19090SM X 2020-02-27,106.83
19090SM X 2020-02-28,99.47
19090SM X 2020-02-29,125.28
19090SM X 2020-03-01,60.05
19090SM X 2020-03-02,54.05
19090SM X 2020-03-03,70.78
19090SM X 2020-03-04,85.111
19090SM X 2020-03-05,63.041000000000004
19090SM X 2020-03-06,79.98
19090SM X 2020-03-07,69.96
19090SM X 2020-03-08,115.69
19090SM X 2020-03-09,77.22
19090SM X 2020-03-10,128.22
19090SM X 2020-03-11,119.63
19090SM X 2020-03-12,58.312
19090SM X 2020-03-13,43.02
19090SM X 2020-03-14,51.85
19090SM X 2020-03-15,122.47
19090SM X 2020-03-16,88.906
19090SM X 2020-03-17,86.99
19090SM X 2020-03-18,51.69
19090SM X 2020-03-19,66.13
19090SM X 2020-03-20,82.13
19090SM X 2020-03-21,84.4
19090SM X 2020-03-22,58.94
19090SM X 2020-03-23,54.5
19090SM X 2020-03-24,83.49
19090SM X 2020-03-25,72.84
19090SM X 2020-03-26,73.35
19090SM X 2020-03-27,63.713
19090SM X 2020-03-28,65.27
19090SM X 2020-03-29,57.81
19090SM X 2020-03-30,61.07
19090SM X 2020-03-31,57.27
19090SM X 2020-04-01,71.67
19090SM X 2020-04-02,50.39
19090SM X 2020-04-03,64.02
19090SM X 2020-04-04,77.38
1BD5TVT X 2020-01-02,71.23
1BD5TVT X 2020-01-03,76.96
1BD5TVT X 2020-01-04,72.49
1BD5TVT X 2020-01-05,80.31
1BD5TVT X 2020-01-06,74.17
1BD5TVT X 2020-01-07,79.788
1BD5TVT X 2020-01-08,71.69
1BD5TVT X 2020-01-09,96.45
1BD5TVT X 2020-01-10,76.5
1BD5TVT X 2020-01-11,79.22
1BD5TVT X 2020-01-12,80.28
1BD5TVT X 2020-01-13,85.11
1BD5TVT X 2020-01-14,114.89
1BD5TVT X 2020-01-15,74.06
1BD5TVT X 2020-01-16,84.12
1BD5TVT X 2020-01-17,82.67399999999999
1BD5TVT X 2020-01-18,84.67
1BD5TVT X 2020-01-19,75.97
1BD5TVT X 2020-01-20,77.75
1BD5TVT X 2020-01-21,115.47
1BD5TVT X 2020-01-22,89.95
1BD5TVT X 2020-01-23,74.99
1BD5TVT X 2020-01-24,77.05
1BD5TVT X 2020-01-25,70.01
1BD5TVT X 2020-01-26,97.9
1BD5TVT X 2020-01-27,89.79
1BD5TVT X 2020-01-28,85.81
1BD5TVT X 2020-01-29,78.12
1BD5TVT X 2020-01-30,107.8
1BD5TVT X 2020-01-31,95.06
1BD5TVT X 2020-02-01,92.244
1BD5TVT X 2020-02-02,105.45
1BD5TVT X 2020-02-03,78.69
1BD5TVT X 2020-02-04,66.53
1BD5TVT X 2020-02-05,74.22
1BD5TVT X 2020-02-06,94.92
1BD5TVT X 2020-02-07,81.82
1BD5TVT X 2020-02-08,71.52
1BD5TVT X 2020-02-09,56.17
1BD5TVT X 2020-02-10,83.12
1BD5TVT X 2020-02-11,97.26
1BD5TVT X 2020-02-12,84.7
1BD5TVT X 2020-02-13,86.05
1BD5TVT X 2020-02-14,78.97
1BD5TVT X 2020-02-15,87.79
1BD5TVT X 2020-02-16,58.66
1BD5TVT X 2020-02-17,123.84
1BD5TVT X 2020-02-18,136.68
1BD5TVT X 2020-02-19,138.65
1BD5TVT X 2020-02-20,69.56
1BD5TVT X 2020-02-21,76.96
1BD5TVT X 2020-02-22,84.28
1BD5TVT X 2020-02-23,94.18
1BD5TVT X 2020-02-24,79.34
1BD5TVT X 2020-02-25,77.15
1BD5TVT X 2020-02-26,80.27
1BD5TVT X 2020-02-27,72.39
1BD5TVT X 2020-02-28,92.34
1BD5TVT X 2020-02-29,71.73
1BD5TVT X 2020-03-01,63.49
1BD5TVT X 2020-03-02,63.24
1BD5TVT X 2020-03-03,60.9
1BD5TVT X 2020-03-04,48.73
1BD5TVT X 2020-03-05,74.44
1BD5TVT X 2020-03-06,119.38
1BD5TVT X 2020-03-07,105.54
1BD5TVT X 2020-03-08,87.56
1BD5TVT X 2020-03-09,86.58
1BD5TVT X 2020-03-10,83.93
1BD5TVT X 2020-03-11,61.618
1BD5TVT X 2020-03-12,79.42
1BD5TVT X 2020-03-13,90.66
1BD5TVT X 2020-03-14,59.84
1BD5TVT X 2020-03-15,79.45
1BD5TVT X 2020-03-16,66.14
1BD5TVT X 2020-03-17,66.78
1BD5TVT X 2020-03-18,59.59
1BD5TVT X 2020-03-19,58.3
1BD5TVT X 2020-03-20,83.66
1BD5TVT X 2020-03-21,90.35
1BD5TVT X 2020-03-22,70.77
1BD5TVT X 2020-03-23,76.5
1BD5TVT X 2020-03-24,73.33
1BD5TVT X 2020-03-25,62.88
1BD5TVT X 2020-03-26,69.06
1BD5TVT X 2020-03-27,74.06
1BD5TVT X 2020-03-28,41.54
1BD5TVT X 2020-03-29,59.99
1BD5TVT X 2020-03-30,50.93
1BD5TVT X 2020-03-31,59.95
1BD5TVT X 2020-04-01,78.17
1BD5TVT X 2020-04-02,66.74
1BD5TVT X 2020-04-03,69.05
1BD5TVT X 2020-04-04,48.31
1JJE0UY X 2020-01-02,25.98
1JJE0UY X 2020-01-03,31.49
1JJE0UY X 2020-01-04,29.16
1JJE0UY X 2020-01-05,29.25
1JJE0UY X 2020-01-06,32.16
1JJE0UY X 2020-01-07,33.62
1JJE0UY X 2020-01-08,35.12
1JJE0UY X 2020-01-09,24.79
1JJE0UY X 2020-01-10,59.61
1JJE0UY X 2020-01-11,24.77
1JJE0UY X 2020-01-12,18.57
1JJE0UY X 2020-01-13,21.77
1JJE0UY X 2020-01-14,30.41
1JJE0UY X 2020-01-15,28.32
1JJE0UY X 2020-01-16,40.22
1JJE0UY X 2020-01-17,37.33
1JJE0UY X 2020-01-18,34.08
1JJE0UY X 2020-01-19,47.94
1JJE0UY X 2020-01-20,67.65
1JJE0UY X 2020-01-21,58.58
1JJE0UY X 2020-01-22,55.23
1JJE0UY X 2020-01-23,58.5
1JJE0UY X 2020-01-24,47.3
1JJE0UY X 2020-01-25,53.45
1JJE0UY X 2020-01-26,45.76
1JJE0UY X 2020-01-27,22.78
1JJE0UY X 2020-01-28,21.93
1JJE0UY X 2020-01-29,26.31
1JJE0UY X 2020-01-30,22.18
1JJE0UY X 2020-01-31,24.44
1JJE0UY X 2020-02-01,25.53
1JJE0UY X 2020-02-02,39.19
1JJE0UY X 2020-02-03,29.26
1JJE0UY X 2020-02-04,34.49
1JJE0UY X 2020-02-05,65.82
1JJE0UY X 2020-02-06,64.35
1JJE0UY X 2020-02-07,65.18
1JJE0UY X 2020-02-08,27.72
1JJE0UY X 2020-02-09,15.49
1JJE0UY X 2020-02-10,25.55
1JJE0UY X 2020-02-11,20.35
1JJE0UY X 2020-02-12,23.42
1JJE0UY X 2020-02-13,23.27
1JJE0UY X 2020-02-14,43.18
1JJE0UY X 2020-02-15,19.07
1JJE0UY X 2020-02-16,22.281
1JJE0UY X 2020-02-17,24.8
1JJE0UY X 2020-02-18,23.66
1JJE0UY X 2020-02-19,26.98
1JJE0UY X 2020-02-20,22.0
1JJE0UY X 2020-02-21,31.22
1JJE0UY X 2020-02-22,24.89
1JJE0UY X 2020-02-23,24.53
1JJE0UY X 2020-02-24,33.68
1JJE0UY X 2020-02-25,16.31
1JJE0UY X 2020-02-26,24.98
1JJE0UY X 2020-02-27,31.92
1JJE0UY X 2020-02-28,26.93
1JJE0UY X 2020-02-29,16.5
1JJE0UY X 2020-03-01,21.35
1JJE0UY X 2020-03-02,30.85
1JJE0UY X 2020-03-03,40.15
1JJE0UY X 2020-03-04,36.63
1JJE0UY X 2020-03-05,46.21
1JJE0UY X 2020-03-06,51.38
1JJE0UY X 2020-03-07,35.25
1JJE0UY X 2020-03-08,19.71
1JJE0UY X 2020-03-09,27.58
1JJE0UY X 2020-03-10,21.41
1JJE0UY X 2020-03-11,29.96
1JJE0UY X 2020-03-12,23.91
1JJE0UY X 2020-03-13,25.57
1JJE0UY X 2020-03-14,33.575
1JJE0UY X 2020-03-15,28.29
1JJE0UY X 2020-03-16,32.16
1JJE0UY X 2020-03-17,22.55
1JJE0UY X 2020-03-18,21.79
1JJE0UY X 2020-03-19,38.31
1JJE0UY X 2020-03-20,31.89
1JJE0UY X 2020-03-21,34.8
1JJE0UY X 2020-03-22,42.44
1JJE0UY X 2020-03-23,49.47
1JJE0UY X 2020-03-24,63.91
1JJE0UY X 2020-03-25,59.03
1JJE0UY X 2020-03-26,70.38
1JJE0UY X 2020-03-27,71.77
1JJE0UY X 2020-03-28,23.36
1JJE0UY X 2020-03-29,25.32
1JJE0UY X 2020-03-30,22.7
1JJE0UY X 2020-03-31,31.47
1JJE0UY X 2020-04-01,30.1
1JJE0UY X 2020-04-02,26.0
1JJE0UY X 2020-04-03,29.05
1JJE0UY X 2020-04-04,38.02
1PILPB3 X 2020-01-02,46.663999999999994
1PILPB3 X 2020-01-03,58.67
1PILPB3 X 2020-01-04,44.69
1PILPB3 X 2020-01-05,61.52
1PILPB3 X 2020-01-06,62.71
1PILPB3 X 2020-01-07,40.84
1PILPB3 X 2020-01-08,42.75
1PILPB3 X 2020-01-09,71.45
1PILPB3 X 2020-01-10,47.03
1PILPB3 X 2020-01-11,53.84
1PILPB3 X 2020-01-12,57.4
1PILPB3 X 2020-01-13,59.91
1PILPB3 X 2020-01-14,50.32
1PILPB3 X 2020-01-15,56.59
1PILPB3 X 2020-01-16,58.36
1PILPB3 X 2020-01-17,78.38
1PILPB3 X 2020-01-18,47.56
1PILPB3 X 2020-01-19,69.19
1PILPB3 X 2020-01-20,58.08
1PILPB3 X 2020-01-21,59.27
1PILPB3 X 2020-01-22,62.2
1PILPB3 X 2020-01-23,85.41
1PILPB3 X 2020-01-24,60.97
1PILPB3 X 2020-01-25,69.14
1PILPB3 X 2020-01-26,57.81
1PILPB3 X 2020-01-27,65.01
1PILPB3 X 2020-01-28,34.54
1PILPB3 X 2020-01-29,39.86
1PILPB3 X 2020-01-30,43.13
1PILPB3 X 2020-01-31,43.44
1PILPB3 X 2020-02-01,43.43
1PILPB3 X 2020-02-02,107.62
1PILPB3 X 2020-02-03,81.03
1PILPB3 X 2020-02-04,107.88
1PILPB3 X 2020-02-05,49.47
1PILPB3 X 2020-02-06,57.54
1PILPB3 X 2020-02-07,50.34
1PILPB3 X 2020-02-08,43.78
1PILPB3 X 2020-02-09,52.27
1PILPB3 X 2020-02-10,50.57
1PILPB3 X 2020-02-11,69.44
1PILPB3 X 2020-02-12,47.35
1PILPB3 X 2020-02-13,94.631
1PILPB3 X 2020-02-14,104.49
1PILPB3 X 2020-02-15,71.25
1PILPB3 X 2020-02-16,63.82
1PILPB3 X 2020-02-17,82.39
1PILPB3 X 2020-02-18,50.89
1PILPB3 X 2020-02-19,49.2
1PILPB3 X 2020-02-20,67.72
1PILPB3 X 2020-02-21,66.68
1PILPB3 X 2020-02-22,47.47
1PILPB3 X 2020-02-23,47.55
1PILPB3 X 2020-02-24,56.05
1PILPB3 X 2020-02-25,84.12
1PILPB3 X 2020-02-26,50.73
1PILPB3 X 2020-02-27,55.64
1PILPB3 X 2020-02-28,45.35
1PILPB3 X 2020-02-29,64.76
1PILPB3 X 2020-03-01,53.5
1PILPB3 X 2020-03-02,75.43
1PILPB3 X 2020-03-03,61.46
1PILPB3 X 2020-03-04,43.23
1PILPB3 X 2020-03-05,60.22
1PILPB3 X 2020-03-06,66.58
1PILPB3 X 2020-03-07,57.77
1PILPB3 X 2020-03-08,38.14
1PILPB3 X 2020-03-09,51.06
1PILPB3 X 2020-03-10,42.14
1PILPB3 X 2020-03-11,50.99
1PILPB3 X 2020-03-12,63.84
1PILPB3 X 2020-03-13,53.42
1PILPB3 X 2020-03-14,47.82
1PILPB3 X 2020-03-15,41.15
1PILPB3 X 2020-03-16,38.12
1PILPB3 X 2020-03-17,64.21
1PILPB3 X 2020-03-18,87.57
1PILPB3 X 2020-03-19,53.62
1PILPB3 X 2020-03-20,36.89
1PILPB3 X 2020-03-21,107.26
1PILPB3 X 2020-03-22,59.14
1PILPB3 X 2020-03-23,67.29
1PILPB3 X 2020-03-24,79.3
1PILPB3 X 2020-03-25,70.97
1PILPB3 X 2020-03-26,52.27
1PILPB3 X 2020-03-27,50.95
1PILPB3 X 2020-03-28,41.4
1PILPB3 X 2020-03-29,40.11
1PILPB3 X 2020-03-30,49.82
1PILPB3 X 2020-03-31,42.83
1PILPB3 X 2020-04-01,57.91
1PILPB3 X 2020-04-02,58.13
1PILPB3 X 2020-04-03,57.33
1PILPB3 X 2020-04-04,61.25
1WV2OIN X 2020-01-02,73.2
1WV2OIN X 2020-01-03,83.46
1WV2OIN X 2020-01-04,87.26
1WV2OIN X 2020-01-05,85.02
1WV2OIN X 2020-01-06,57.533
1WV2OIN X 2020-01-07,55.21
1WV2OIN X 2020-01-08,100.04
1WV2OIN X 2020-01-09,95.05
1WV2OIN X 2020-01-10,96.09
1WV2OIN X 2020-01-11,85.86
1WV2OIN X 2020-01-12,90.49
1WV2OIN X 2020-01-13,115.23
1WV2OIN X 2020-01-14,99.35
1WV2OIN X 2020-01-15,79.732
1WV2OIN X 2020-01-16,126.03
1WV2OIN X 2020-01-17,112.5
1WV2OIN X 2020-01-18,57.42
1WV2OIN X 2020-01-19,77.37
1WV2OIN X 2020-01-20,88.836
1WV2OIN X 2020-01-21,71.01
1WV2OIN X 2020-01-22,88.8
1WV2OIN X 2020-01-23,89.09
1WV2OIN X 2020-01-24,86.71
1WV2OIN X 2020-01-25,80.78
1WV2OIN X 2020-01-26,95.99
1WV2OIN X 2020-01-27,109.35
1WV2OIN X 2020-01-28,102.42
1WV2OIN X 2020-01-29,120.93
1WV2OIN X 2020-01-30,100.72
1WV2OIN X 2020-01-31,101.45
1WV2OIN X 2020-02-01,95.97
1WV2OIN X 2020-02-02,86.49
1WV2OIN X 2020-02-03,91.2
1WV2OIN X 2020-02-04,87.0
1WV2OIN X 2020-02-05,73.14
1WV2OIN X 2020-02-06,92.97
1WV2OIN X 2020-02-07,92.35
1WV2OIN X 2020-02-08,88.99
1WV2OIN X 2020-02-09,83.93
1WV2OIN X 2020-02-10,89.85
1WV2OIN X 2020-02-11,93.42
1WV2OIN X 2020-02-12,74.95
1WV2OIN X 2020-02-13,89.0
1WV2OIN X 2020-02-14,130.27
1WV2OIN X 2020-02-15,121.16
1WV2OIN X 2020-02-16,90.43
1WV2OIN X 2020-02-17,100.37
1WV2OIN X 2020-02-18,101.37
1WV2OIN X 2020-02-19,103.66
1WV2OIN X 2020-02-20,94.97200000000001
1WV2OIN X 2020-02-21,87.81
1WV2OIN X 2020-02-22,87.45
1WV2OIN X 2020-02-23,87.84
1WV2OIN X 2020-02-24,103.7
1WV2OIN X 2020-02-25,106.87
1WV2OIN X 2020-02-26,88.18
1WV2OIN X 2020-02-27,81.74
1WV2OIN X 2020-02-28,90.62
1WV2OIN X 2020-02-29,89.04
1WV2OIN X 2020-03-01,90.75
1WV2OIN X 2020-03-02,80.35
1WV2OIN X 2020-03-03,87.35
1WV2OIN X 2020-03-04,92.59
1WV2OIN X 2020-03-05,81.9
1WV2OIN X 2020-03-06,75.13
1WV2OIN X 2020-03-07,73.66
